hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.unscrambleResult	Answer.cost	Answer.difficulty
3NBFJK3IOHWUW99RQF76FTX5OY6OG9	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:33 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.03#1	3600	2592000	Sun Feb 28 01:22:33 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3NBFJK3IOHWUW99RQF76FTX5OY6OG9	3NPI0JQDAPJJ9Y4SFHOUSWC2Y1BTPU	A1FQKP544P97KW	Rejected	Sun Mar 27 13:01:08 EDT 2016	Fri Feb 26 11:44:50 EST 2016	Fri Feb 26 12:01:08 EST 2016		Fri Feb 26 13:01:48 EST 2016		As per the assignment instructions, please only do one of our HITs.	y		0.03	1
3VMV5CHJZ8TA91EZMWT5933SN6NTG0	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.03#3	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3VMV5CHJZ8TA91EZMWT5933SN6NTG0	3ATPCQ38J9O83GXK04TWAIFMEHVYAA	A1FQKP544P97KW	Rejected	Sun Mar 27 13:03:42 EDT 2016	Fri Feb 26 12:02:57 EST 2016	Fri Feb 26 12:03:42 EST 2016		Fri Feb 26 13:02:08 EST 2016		As per the assignment instructions, please only do one of our HITs.	y	Why ||| did ||| n't ||| you ||| bring ||| your ||| dictionary ||| today ||| ? |||  $$$ 	0.03	3
3MDWE879UHGVY5XA84WAHSBJDMSB91	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:31 EST 2016	2	0	0	1	Reviewable	NotReviewed	scrambled#0.03#1	3600	2592000	Sun Feb 28 01:22:31 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3MDWE879UHGVY5XA84WAHSBJDMSB91	351SEKWQS1V676BI1BWN6O0LQ92DMN	A1K9WP8Q74E9G2	Rejected	Sun Mar 27 02:26:19 EDT 2016	Fri Feb 26 01:25:28 EST 2016	Fri Feb 26 01:26:19 EST 2016		Fri Feb 26 11:20:11 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y		0.03	1
3VMV5CHJZ8TA91EZMWT5933SN6NTG0	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.03#3	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3VMV5CHJZ8TA91EZMWT5933SN6NTG0	3S06PH7KSSI9BHPT8PDPMWCISY81D4	A1K9WP8Q74E9G2	Rejected	Sun Mar 27 02:24:19 EDT 2016	Fri Feb 26 01:23:25 EST 2016	Fri Feb 26 01:24:19 EST 2016		Fri Feb 26 11:20:01 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y	Why ||| did ||| n't ||| you ||| bring ||| your ||| dictionary ||| today ||| ? |||  $$$ 	0.03	3
3FI30CQHVKX8GMVCAXTYXIKHNLK6BL	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	2	0	0	1	Reviewable	NotReviewed	scrambled#0.01#2	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3FI30CQHVKX8GMVCAXTYXIKHNLK6BL	35GMH2SV3FVZZFAUAMMK4A7BLLNEO1	A26107JGUUDQ3N	Rejected	Sun Mar 27 04:05:55 EDT 2016	Fri Feb 26 03:01:27 EST 2016	Fri Feb 26 03:05:55 EST 2016		Fri Feb 26 10:46:27 EST 2016		Empty HIT (the other, completed HIT will be accepted)	y		0.01	2
3HYV4299H0ATR3QKD3SMI4MTWDN8E9	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:33 EST 2016	2	0	0	1	Reviewable	NotReviewed	scrambled#0.01#2	3600	2592000	Sun Feb 28 01:22:33 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3HYV4299H0ATR3QKD3SMI4MTWDN8E9	369J354OFEO7UN0HGLQEND6WD2U6G9	A2BDU25MXACCED	Rejected	Sun Mar 27 09:40:29 EDT 2016	Fri Feb 26 08:38:55 EST 2016	Fri Feb 26 08:40:29 EST 2016		Fri Feb 26 10:44:01 EST 2016		Empty HIT (see my reply to your email and let me know if you're still interested in completing a HIT)	y		0.01	2
3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.05#2	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	34S6N1K2ZWX3D4YZNVEYXW0UIYZLH0	A2J4CYBAKI5HXU	Rejected	Sun Mar 27 16:57:04 EDT 2016	Fri Feb 26 15:56:36 EST 2016	Fri Feb 26 15:57:04 EST 2016		Fri Feb 26 18:37:33 EST 2016		As per the assignment instructions, please only accept one of our HITs. (We have accepted your other one.)	y		0.05	2
304QEQWKZPYXL5Y6CDI3U1APHHH0OI	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:31 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.01#1	3600	2592000	Sun Feb 28 01:22:31 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=304QEQWKZPYXL5Y6CDI3U1APHHH0OI	33F859I567RR0VCNWIP4JT4P62RBH5	A2J65ZHAJQDKAC	Rejected	Sun Mar 27 02:31:53 EDT 2016	Fri Feb 26 01:30:44 EST 2016	Fri Feb 26 01:31:53 EST 2016		Fri Feb 26 11:21:04 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y	A third ||| of the money ||| is ||| mine ||| . |||  $$$ 	0.01	1
304QEQWKZPYXL5Y6CDI3U1APHHH0OI	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:31 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.01#1	3600	2592000	Sun Feb 28 01:22:31 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=304QEQWKZPYXL5Y6CDI3U1APHHH0OI	37QW5D2ZRH0XO6SW40HTW5LQ7808S3	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:20:00 EDT 2016	Fri Feb 26 12:19:37 EST 2016	Fri Feb 26 12:20:00 EST 2016		Fri Feb 26 13:07:07 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.01	1
3YO4AH2FPDY06HBMRQA7J65PWIYQ0F	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:31 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.03#1	3600	2592000	Sun Feb 28 01:22:31 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3YO4AH2FPDY06HBMRQA7J65PWIYQ0F	340UGXU9DZFBEVGD1YN33KNM34NVUE	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:29:36 EDT 2016	Fri Feb 26 12:29:20 EST 2016	Fri Feb 26 12:29:36 EST 2016		Fri Feb 26 13:08:42 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.03	1
3SBNLSTU6UJ3JTD7QYHFP61CVATDZQ	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:32 EST 2016	3	0	0	3	Reviewable	NotReviewed	scrambled#0.01#2	3600	2592000	Sun Feb 28 01:22:32 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6UJ3JTD7QYHFP61CVATDZQ	384PI804XTFF6HNT9W4E3QF8OAOS00	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:26:30 EDT 2016	Fri Feb 26 12:25:25 EST 2016	Fri Feb 26 12:26:30 EST 2016		Fri Feb 26 13:08:30 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.01	2
3JUDR1D0D6572RE06DEL2UY4TGIQ2Z	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:33 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.01#2	3600	2592000	Sun Feb 28 01:22:33 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3JUDR1D0D6572RE06DEL2UY4TGIQ2Z	34J10VATJGCE0WPWLI4FEU03SHLIQZ	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:29:08 EDT 2016	Fri Feb 26 12:27:43 EST 2016	Fri Feb 26 12:29:08 EST 2016		Fri Feb 26 13:07:46 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.01	2
3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.05#2	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	30MVJZJNHNR438SGMYET40PEVW69JG	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:25:02 EDT 2016	Fri Feb 26 12:20:27 EST 2016	Fri Feb 26 12:25:02 EST 2016		Fri Feb 26 13:07:35 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.05	2
371Q3BEXDHN9LIWPNOC4K5NCWD2SZY	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:35 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.03#3	3600	2592000	Sun Feb 28 01:22:35 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=371Q3BEXDHN9LIWPNOC4K5NCWD2SZY	32EYX73OY1NJLOZWSEIT2NYJIX9URH	A2Z1O9OKSW8MNU	Rejected	Sun Mar 27 13:27:31 EDT 2016	Fri Feb 26 12:26:50 EST 2016	Fri Feb 26 12:27:31 EST 2016		Fri Feb 26 13:07:24 EST 2016		As per the assignment instructions, please only do one of our HITs. (You submitted 6 HITs, all of which were blank.)	y		0.03	3
3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:34 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.05#2	3600	2592000	Sun Feb 28 01:22:34 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3HY86PZXPYWBG36ZEIJ73UZLI7HE1V	3TVRFO09GLT0ZUYESZWK0IOO6NEXLZ	A3I9FTHSULHPYS	Rejected	Sun Mar 27 09:37:30 EDT 2016	Fri Feb 26 08:36:49 EST 2016	Fri Feb 26 08:37:30 EST 2016		Fri Feb 26 11:22:00 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y		0.05	2
371Q3BEXDHN9LIWPNOC4K5NCWD2SZY	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:35 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.03#3	3600	2592000	Sun Feb 28 01:22:35 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=371Q3BEXDHN9LIWPNOC4K5NCWD2SZY	3STRJBFXOX5IY77C2PJMWFQ34RMKT1	A3I9FTHSULHPYS	Rejected	Sun Mar 27 09:36:48 EDT 2016	Fri Feb 26 08:35:33 EST 2016	Fri Feb 26 08:36:48 EST 2016		Fri Feb 26 11:21:42 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y	Why ||| did ||| n't ||| you ||| bring ||| your ||| dictionary ||| today ||| ? |||  $$$ 	0.03	3
3DZKABX2ZIJC5H2JP5X1KU6YMZAVC7	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:36 EST 2016	2	0	0	1	Reviewable	NotReviewed	scrambled#0.05#3	3600	2592000	Sun Feb 28 01:22:36 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3DZKABX2ZIJC5H2JP5X1KU6YMZAVC7	3B3WTRP3DCG4XCU8FD815J3XTJE29C	ADQ3CT01ITFPT	Rejected	Sun Mar 27 04:40:34 EDT 2016	Fri Feb 26 03:39:59 EST 2016	Fri Feb 26 03:40:34 EST 2016		Fri Feb 26 10:40:57 EST 2016		Two submissions (the other one will be approved)	y	Why ||| did ||| n't ||| you ||| bring ||| your ||| dictionary ||| today ||| ? |||  $$$ 	0.05	3
3NBFJK3IOHWUW99RQF76FTX5OY6OG9	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:33 EST 2016	4	0	0	3	Reviewable	NotReviewed	scrambled#0.03#1	3600	2592000	Sun Feb 28 01:22:33 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3NBFJK3IOHWUW99RQF76FTX5OY6OG9	3UWN2HHPUZJIRDF0A26CE2BLW2PNSU	AGA1PIIWM8I8D	Rejected	Sun Mar 27 03:14:02 EDT 2016	Fri Feb 26 02:13:05 EST 2016	Fri Feb 26 02:14:02 EST 2016		Fri Feb 26 11:22:49 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y	A third ||| of the money ||| is ||| mine ||| . |||  $$$ 	0.03	1
3SBNLSTU6UJ3JTD7QYHFP61CVATDZQ	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:32 EST 2016	3	0	0	3	Reviewable	NotReviewed	scrambled#0.01#2	3600	2592000	Sun Feb 28 01:22:32 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3SBNLSTU6UJ3JTD7QYHFP61CVATDZQ	33IZTU6J82FN37T4C8TLC42JYGYXSN	AGA1PIIWM8I8D	Rejected	Sun Mar 27 03:14:42 EDT 2016	Fri Feb 26 02:14:02 EST 2016	Fri Feb 26 02:14:42 EST 2016		Fri Feb 26 11:22:58 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y		0.01	2
36AZSFEYZ4ETVCADB5169A0G4EAVB0	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:35 EST 2016	2	0	0	1	Reviewable	NotReviewed	scrambled#0.05#3	3600	2592000	Sun Feb 28 01:22:35 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=36AZSFEYZ4ETVCADB5169A0G4EAVB0	3DY46V3X3QWDVMBJU6XIRA17RXH55K	AGA1PIIWM8I8D	Rejected	Sun Mar 27 03:15:02 EDT 2016	Fri Feb 26 02:14:42 EST 2016	Fri Feb 26 02:15:02 EST 2016		Fri Feb 26 11:23:07 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y	Why ||| did ||| n't ||| you ||| bring ||| your ||| dictionary ||| today ||| ? |||  $$$ 	0.05	3
3YO4AH2FPDY06HBMRQA7J65PWIYQ0F	35280GTXAM5X4X7592B90AT7EF8VOY	Unscramble English Sentences (Per sentence bonus!) (Chrome or Safari users only)	Put the words of a scrambled sentence in the correct order. You will get a bonus for each sentence you correctly unscramble.	sentences, scramble, unscramble, unscrambling, bonus	$0.05	Fri Feb 26 01:22:31 EST 2016	3	0	0	2	Reviewable	NotReviewed	scrambled#0.03#1	3600	2592000	Sun Feb 28 01:22:31 EST 2016	https://requester.mturk.com/mturk/manageHIT?HITId=3YO4AH2FPDY06HBMRQA7J65PWIYQ0F	32KTQ2V7RETU4GY1PVRLKSHVZPEM98	AQL2N2W222GBS	Rejected	Sun Mar 27 09:44:45 EDT 2016	Fri Feb 26 08:42:06 EST 2016	Fri Feb 26 08:44:45 EST 2016		Fri Feb 26 11:23:50 EST 2016		Duplicate submission: as per assignment instructions, once you've submitted, do not accept any more of our HITs of the same kind. If you do, you will be rejected.	y		0.03	1
